time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2024-05-17 04:20:00,1.08592,1.08595,1.08573,1.08593,510,0,0,2024-05-17 04:25:00,2024-05-17 04:20:00
2024-05-17 04:30:00,1.08592,1.08606,1.08588,1.08606,474,0,0,2024-05-17 04:32:00,2024-05-17 04:39:00
2024-05-17 04:40:00,1.08607,1.08631,1.08598,1.08619,428,0,0,2024-05-17 04:41:00,2024-05-17 04:45:00
2024-05-17 04:50:00,1.08618,1.08619,1.08584,1.08595,478,0,0,2024-05-17 04:58:00,2024-05-17 04:50:00
2024-05-17 05:00:00,1.08596,1.08606,1.08577,1.08585,459,0,0,2024-05-17 05:03:00,2024-05-17 05:00:00
2024-05-17 05:10:00,1.08584,1.08584,1.08566,1.0857,406,0,0,2024-05-17 05:12:00,2024-05-17 05:10:00
2024-05-17 05:20:00,1.08571,1.08573,1.08559,1.0856,430,0,0,2024-05-17 05:28:00,2024-05-17 05:21:00
2024-05-17 05:30:00,1.08561,1.08562,1.08543,1.08557,438,0,0,2024-05-17 05:37:00,2024-05-17 05:30:00
2024-05-17 05:40:00,1.08556,1.08562,1.0855,1.08559,333,0,0,2024-05-17 05:46:00,2024-05-17 05:41:00
2024-05-17 05:50:00,1.08559,1.08579,1.08555,1.08572,368,0,0,2024-05-17 05:57:00,2024-05-17 05:59:00
2024-05-17 06:00:00,1.08573,1.08593,1.08567,1.08588,382,0,0,2024-05-17 06:00:00,2024-05-17 06:06:00
2024-05-17 06:10:00,1.08589,1.08597,1.08587,1.08592,305,0,0,2024-05-17 06:10:00,2024-05-17 06:18:00
2024-05-17 06:20:00,1.08593,1.08614,1.08592,1.08612,278,0,0,2024-05-17 06:20:00,2024-05-17 06:28:00
2024-05-17 06:30:00,1.08613,1.08615,1.08587,1.08597,277,0,0,2024-05-17 06:38:00,2024-05-17 06:30:00
2024-05-17 06:40:00,1.08596,1.08597,1.0858,1.08583,258,0,0,2024-05-17 06:46:00,2024-05-17 06:40:00
2024-05-17 06:50:00,1.08582,1.08595,1.08581,1.08592,292,0,0,2024-05-17 06:50:00,2024-05-17 06:57:00
2024-05-17 07:00:00,1.08591,1.08595,1.08581,1.08586,305,0,0,2024-05-17 07:06:00,2024-05-17 07:02:00
2024-05-17 07:10:00,1.08587,1.08594,1.08572,1.08582,251,0,0,2024-05-17 07:16:00,2024-05-17 07:11:00
2024-05-17 07:20:00,1.08581,1.08587,1.08565,1.08567,354,0,0,2024-05-17 07:26:00,2024-05-17 07:21:00
2024-05-17 07:30:00,1.08568,1.08575,1.08564,1.08565,264,0,0,2024-05-17 07:38:00,2024-05-17 07:33:00
2024-05-17 07:40:00,1.08566,1.08573,1.08562,1.08562,245,0,0,2024-05-17 07:49:00,2024-05-17 07:47:00
