time,open,high,low,close,tick_volume,spread,real_volume
2023-10-17 03:00:00,0.63375,0.63598,0.63363,0.63537,3369,0,0
2023-10-17 04:00:00,0.63536,0.63546,0.6344,0.6352,3879,0,0
2023-10-17 05:00:00,0.63519,0.63553,0.63456,0.63533,3136,0,0
2023-10-17 06:00:00,0.63535,0.63671,0.63508,0.63539,2532,0,0
2023-10-17 07:00:00,0.63538,0.63552,0.63494,0.63541,1937,0,0
2023-10-17 08:00:00,0.6354,0.63583,0.63481,0.63515,2846,0,0
2023-10-17 09:00:00,0.63516,0.63583,0.635,0.63525,3287,0,0
2023-10-17 10:00:00,0.63525,0.63632,0.63516,0.63582,4333,0,0
2023-10-17 11:00:00,0.6358,0.63602,0.63428,0.63444,4222,0,0
2023-10-17 12:00:00,0.63443,0.63538,0.63438,0.63535,3270,0,0
2023-10-17 13:00:00,0.63534,0.63585,0.63455,0.63496,3824,0,0
2023-10-17 14:00:00,0.63496,0.63659,0.63493,0.63617,3393,0,0
2023-10-17 15:00:00,0.63618,0.63639,0.63364,0.63413,6051,0,0
2023-10-17 16:00:00,0.63414,0.63542,0.63365,0.63439,6830,0,0
2023-10-17 17:00:00,0.63439,0.63687,0.63439,0.63636,6422,0,0
2023-10-17 18:00:00,0.63637,0.63771,0.63626,0.63762,4879,0,0
2023-10-17 19:00:00,0.63761,0.63799,0.63705,0.63715,4493,0,0
2023-10-17 20:00:00,0.63714,0.63715,0.63537,0.6356,3570,0,0
2023-10-17 21:00:00,0.63561,0.63632,0.63538,0.63581,3590,0,0
2023-10-17 22:00:00,0.63583,0.63681,0.63579,0.63645,3429,0,0
2023-10-17 23:00:00,0.63645,0.63671,0.63627,0.63633,1055,0,0
2023-10-18 00:00:00,0.63632,0.63666,0.6354,0.63664,762,8,0
2023-10-18 01:00:00,0.63663,0.63668,0.63644,0.63658,777,0,0
2023-10-18 02:00:00,0.63657,0.63665,0.63622,0.63629,1148,0,0
2023-10-18 03:00:00,0.63631,0.63657,0.63519,0.63532,2793,0,0
2023-10-18 04:00:00,0.63534,0.63605,0.63511,0.63588,3876,0,0
2023-10-18 05:00:00,0.63591,0.63791,0.63591,0.63751,4410,0,0
2023-10-18 06:00:00,0.63753,0.63818,0.63699,0.63753,2425,0,0
2023-10-18 07:00:00,0.63753,0.63812,0.63742,0.63771,2091,0,0
2023-10-18 08:00:00,0.63772,0.63878,0.63759,0.63847,3454,0,0
2023-10-18 09:00:00,0.63844,0.63932,0.63828,0.63854,4342,0,0
2023-10-18 10:00:00,0.63852,0.63884,0.63796,0.63819,4406,0,0
2023-10-18 11:00:00,0.6382,0.6384,0.63745,0.6382,4011,0,0
2023-10-18 12:00:00,0.63821,0.63846,0.63753,0.63772,3237,0,0
2023-10-18 13:00:00,0.63773,0.63778,0.63649,0.63705,3505,0,0
2023-10-18 14:00:00,0.63705,0.63736,0.63662,0.63679,2962,0,0
2023-10-18 15:00:00,0.63679,0.6371,0.63551,0.63608,4634,0,0
2023-10-18 16:00:00,0.6361,0.63644,0.63551,0.63559,5505,0,0
2023-10-18 17:00:00,0.6356,0.6362,0.6337,0.63422,7087,0,0
2023-10-18 18:00:00,0.6342,0.63449,0.63342,0.63349,5563,0,0
2023-10-18 19:00:00,0.63349,0.63367,0.63281,0.63345,4112,0,0
2023-10-18 20:00:00,0.63348,0.63546,0.63331,0.63505,5412,0,0
2023-10-18 21:00:00,0.63507,0.63514,0.6337,0.63372,3774,0,0
2023-10-18 22:00:00,0.63373,0.63379,0.63329,0.63363,3117,0,0
2023-10-18 23:00:00,0.63363,0.63383,0.63348,0.63352,1430,0,0
2023-10-19 00:00:00,0.6336,0.63371,0.63317,0.63352,956,7,0
2023-10-19 01:00:00,0.63353,0.63391,0.633,0.63303,871,0,0
2023-10-19 02:00:00,0.63303,0.63331,0.63288,0.63329,1356,0,0
2023-10-19 03:00:00,0.63331,0.6337,0.63123,0.63175,4234,0,0
2023-10-19 04:00:00,0.63174,0.63216,0.63007,0.63049,4396,0,0
2023-10-19 05:00:00,0.6305,0.6306,0.62958,0.6302,3743,0,0
2023-10-19 06:00:00,0.63019,0.63054,0.62966,0.62995,2631,0,0
2023-10-19 07:00:00,0.62995,0.63044,0.62992,0.63024,2182,0,0
2023-10-19 08:00:00,0.63023,0.63053,0.6297,0.62997,2569,0,0
2023-10-19 09:00:00,0.62999,0.63111,0.62987,0.63076,4073,0,0
2023-10-19 10:00:00,0.63074,0.63101,0.6297,0.62984,5264,0,0
2023-10-19 11:00:00,0.62985,0.63074,0.62972,0.63045,4368,0,0
2023-10-19 12:00:00,0.63044,0.63064,0.62981,0.63061,3704,0,0
2023-10-19 13:00:00,0.6306,0.6316,0.63049,0.63147,3019,0,0
2023-10-19 14:00:00,0.63149,0.63161,0.631,0.63119,3224,0,0
2023-10-19 15:00:00,0.6312,0.63245,0.63097,0.63195,5223,0,0
2023-10-19 16:00:00,0.63196,0.63269,0.63163,0.63225,5839,0,0
2023-10-19 17:00:00,0.63226,0.63243,0.63137,0.63152,5887,0,0
2023-10-19 18:00:00,0.63151,0.633,0.63146,0.63243,4854,0,0
2023-10-19 19:00:00,0.63244,0.63565,0.63131,0.63469,9754,0,0
2023-10-19 20:00:00,0.63471,0.63564,0.63341,0.6342,7432,0,0
2023-10-19 21:00:00,0.63419,0.63503,0.63249,0.63276,5849,0,0
2023-10-19 22:00:00,0.63274,0.63345,0.63274,0.63335,5050,0,0
